2020-09-30 18:43:24,319, CALLERID(number)=0000000000, UNIQUEID=1601516569.2609, CHANNEL=SIP/640-00000577, name=community-services-oregon
2020-09-30 18:43:50,651, CALLERID(number)=0000000000, UNIQUEID=1601516630.2611, CHANNEL=SIP/640-00000578, name=outgoing-by-calling-extension
2020-09-30 18:43:53,653, CALLERID(number)=0000000000, UNIQUEID=1601516630.2611, CHANNEL=SIP/640-00000578, name=outgoing_portland_menu
2020-09-30 18:53:11,744, CALLERID(number)=0000000000, UNIQUEID=1601517191.2613, CHANNEL=SIP/668-00000579, name=outgoing-by-calling-extension
2020-09-30 18:53:12,266, CALLERID(number)=0000000000, UNIQUEID=1601517191.2613, CHANNEL=SIP/668-00000579, name=outgoing_portland_menu
2020-09-30 18:53:14,862, CALLERID(number)=0000000000, UNIQUEID=1601517191.2613, CHANNEL=SIP/668-00000579, name=outgoing-dialtone-wrapper
2020-09-30 18:53:26,920, CALLERID(number)=0000000000, UNIQUEID=1601517191.2613, CHANNEL=SIP/668-00000579, name=macro-filterdial
2020-09-30 18:53:27,304, CALLERID(number)=0000000000, UNIQUEID=1601517191.2613, CHANNEL=SIP/668-00000579, name=macro-dial
2020-09-30 18:54:53,139, CALLERID(number)=0000000000, UNIQUEID=1601517292.2616, CHANNEL=SIP/668-0000057b, name=outgoing-by-calling-extension
2020-09-30 18:54:53,983, CALLERID(number)=0000000000, UNIQUEID=1601517292.2616, CHANNEL=SIP/668-0000057b, name=outgoing_portland_menu
2020-09-30 18:54:55,461, CALLERID(number)=0000000000, UNIQUEID=1601517292.2616, CHANNEL=SIP/668-0000057b, name=outgoing-dialtone-wrapper
2020-09-30 18:55:00,179, CALLERID(number)=0000000000, UNIQUEID=1601517299.2618, CHANNEL=SIP/668-0000057c, name=outgoing-by-calling-extension
2020-09-30 18:55:01,905, CALLERID(number)=0000000000, UNIQUEID=1601517299.2618, CHANNEL=SIP/668-0000057c, name=outgoing_portland_menu
2020-09-30 18:55:02,380, CALLERID(number)=0000000000, UNIQUEID=1601517299.2618, CHANNEL=SIP/668-0000057c, name=outgoing-dialtone-wrapper
2020-09-30 18:55:16,348, CALLERID(number)=0000000000, UNIQUEID=1601517299.2618, CHANNEL=SIP/668-0000057c, name=macro-filterdial
2020-09-30 18:55:16,726, CALLERID(number)=0000000000, UNIQUEID=1601517299.2618, CHANNEL=SIP/668-0000057c, name=macro-dial
2020-09-30 18:55:54,789, CALLERID(number)=0000000000, UNIQUEID=1601517354.2621, CHANNEL=SIP/668-0000057e, name=outgoing-by-calling-extension
2020-09-30 18:55:55,475, CALLERID(number)=0000000000, UNIQUEID=1601517354.2621, CHANNEL=SIP/668-0000057e, name=outgoing_portland_menu
2020-09-30 18:55:56,703, CALLERID(number)=0000000000, UNIQUEID=1601517354.2621, CHANNEL=SIP/668-0000057e, name=outgoing-dialtone-wrapper
